english_name,indonesian_name,is_dangerous
"1-(3,4-DIMETHOXYPHENYL)-4,4-DIMETHYL-1,3-PENTANEDIONE","1-(3,4-DIMETHOXYPHENYL)-4,4-DIMETHYL-1,3-PENTANEDIONE",False
1-ACETONAPHTHONE,1-ACETONAPHTHONE,False
1-ACETOXY-2-METHYLNAPHTHALENE,1-ACETOXY-2-METHYLNAPHTHALENE,False
1-ETHYL-3-METHOXY-TRICYCLOHEPTANE,1-ETHYL-3-METHOXY-TRICYCLOHEPTANE,False
"1-ETHYLCYCLOHEXANE-1,4-DIMETHANOL","1-ETHYLCYCLOHEXANE-1,4-DIMETHANOL",False
1-HEXEN-3-OL,1-HEXEN-3-OL,False
"1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE","1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE",False
"1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE","1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE",False
1-ISOPROPYL-4-METHYLBICYCLOOCTENE-2-CARBALDEHYDE,1-ISOPROPYL-4-METHYLBICYCLOOCTENE-2-CARBALDEHYDE,False
1-METHYL-4-METHYLETHENYL-CYCLOHEXENE SULFURIZED,1-METHYL-4-METHYLETHENYL-CYCLOHEXENE SULFURIZED,False
1-METHYL-4-METHYLVINYL-CYCLOHEXANOL,1-METHYL-4-METHYLVINYL-CYCLOHEXANOL,False
1-METHYL-4-METHYLVINYL-CYCLOHEXENE,1-METHYL-4-METHYLVINYL-CYCLOHEXENE,False
1-METHYLDECYL ACETATE,1-METHYLDECYL ACETATE,False
1-METHYLHYDANTOIN-2-IMIDE,1-METHYLHYDANTOIN-2-IMIDE,False
1-NAPHTHALENEACETIC ACID,1-NAPHTHALENEACETIC ACID,False
1-NAPHTHOL,1-NAPHTHOL,False
1-NITROPROPANE,1-NITROPROPANE,False
1-NONEN-3-OL,1-NONEN-3-OL,False
1-PENTEN-3-OL,1-PENTEN-3-OL,False
1-PHENYLPROPYL ACETATE,1-PHENYLPROPYL ACETATE,False
1-TRIMETHYL-3-CYCLOHEXENYLETHANONE,1-TRIMETHYL-3-CYCLOHEXENYLETHANONE,False
"1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE","1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE",False
"1,10-DECANEDIOL","1,10-DECANEDIOL",False
"1,2-BUTANEDIOL","1,2-BUTANEDIOL",False
"1,2-DIHYDROLINALOOL","1,2-DIHYDROLINALOOL",False
"1,2-HEXANEDIOL",12-Hexanediol,False
"1,2-HEXANEDIYL DICAPRATE","1,2-HEXANEDIYL DICAPRATE",False
"1,2, 3,4, 4A, 5,6, 7-OCTAHYDRO-2,5, 5-TRIMETHYL-2-NAPHTHOL","1,2, 3,4, 4A, 5,6, 7-OCTAHYDRO-2,5, 5-TRIMETHYL-2-NAPHTHOL",False
"1,2, 3,4, 4A, 7,8, 8A-OCTAHYDRO-2,4A, 5,8A-TETRAMETHYL-NAPHTHYL FORMATE","1,2, 3,4, 4A, 7,8, 8A-OCTAHYDRO-2,4A, 5,8A-TETRAMETHYL-NAPHTHYL FORMATE",False
"1,2, 4-TRIHYDROXYBENZENE","1,2, 4-TRIHYDROXYBENZENE",False
"1,2, 6-HEXANETRIOL","1,2, 6-HEXANETRIOL",False
"1,3-BIS-(2,4-DIAMINOPHENOXY) PROPANE HCL","1,3-BIS-(2,4-DIAMINOPHENOXY) PROPANE HCL",False
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE","1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE",False
"1,3-BIS-(ISOCYANATOMETHYL) CYCLOHEXANE","1,3-BIS-(ISOCYANATOMETHYL) CYCLOHEXANE",False
"1,3-DIMETHYL-BICYCLOHEPTANE-2-CARBONITRILE","1,3-DIMETHYL-BICYCLOHEPTANE-2-CARBONITRILE",False
"1,4-BUTANEDIOL","1,4-BUTANEDIOL",False
"1,4-BUTANEDIOL BISDECANOATE","1,4-BUTANEDIOL BISDECANOATE",False
"1,4-BUTANEDIOL DIMETHACRYLATE","1,4-BUTANEDIOL DIMETHACRYLATE",False
"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER",False
"1,4-CYCLOHEXANEDIOL BIS-ETHYLHEXANOATE","1,4-CYCLOHEXANEDIOL BIS-ETHYLHEXANOATE",False
"1,5-DIMETHYL-1-VINYLHEX-4-ENYL HEXANOATE","1,5-DIMETHYL-1-VINYLHEX-4-ENYL HEXANOATE",False
"1,5-NAPHTHALENEDIOL","1,5-NAPHTHALENEDIOL",False
"1,5-PENTANEDIOL","1,5-PENTANEDIOL",False
"1,5, 9-TRIMETHYL-OXABICYCLOTRIDECADIENE","1,5, 9-TRIMETHYL-OXABICYCLOTRIDECADIENE",False
"1,6-HEXAMETHYLENE DIISOCYANATE","1,6-HEXAMETHYLENE DIISOCYANATE",False
"1,6-HEXANEDIAMINE","1,6-HEXANEDIAMINE",False
"10-HYDROXY-1,8-P-MENTHADIENE","10-HYDROXY-1,8-P-MENTHADIENE",False
10-HYDROXYDECANOIC ACID,10-HYDROXYDECANOIC ACID,False
10-HYDROXYDECENOIC ACID,10-HYDROXYDECENOIC ACID,False
10-HYDROXYSTEARIC ACID,10-HYDROXYSTEARIC ACID,False
10-UNDECENYL ACETATE,10-UNDECENYL ACETATE,False
2-(1-ETHYLPROPYL)PYRIDINE,2-(1-ETHYLPROPYL)PYRIDINE,False
2-(2-AMINOETHOXY)ETHANOL,2-(2-AMINOETHOXY)ETHANOL,False
2-ACETONAPHTHONE,2-ACETONAPHTHONE,False
2-ACETYLHYDROQUINONE,Hidrokuinon,True
2-ACRYLAMIDO-2-METHYLPROPANE SULFONIC ACID,2-ACRYLAMIDO-2-METHYLPROPANE SULFONIC ACID,False
2-AMINO-3-HYDROXYPYRIDINE,2-AMINO-3-HYDROXYPYRIDINE,False
2-AMINO-4-HYDROXYETHYLAMINOANISOLE,2-AMINO-4-HYDROXYETHYLAMINOANISOLE,False
2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE,2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE,False
"2-AMINO-4,5-DIMETHYLTHIAZOLE HBR","2-AMINO-4,5-DIMETHYLTHIAZOLE HBR",False
2-AMINO-5-ETHYLPHENOL HCL,2-AMINO-5-ETHYLPHENOL HCL,False
2-AMINO-6-CHLORO-4-NITROPHENOL,2-AMINO-6-CHLORO-4-NITROPHENOL,False
2-BENZYLHEPTANOL,2-BENZYLHEPTANOL,False
"2-Bromo-2-Nitropropane-1,3-Diol, Bronopol","2-Bromo-2-Nitropropane-1,3-Diol, Bronopol",False
2-CARENYL METHYL KETONE,2-CARENYL METHYL KETONE,False
2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL,2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL,False
2-CHLORO-P-PHENYLENEDIAMINE,2-CHLORO-P-PHENYLENEDIAMINE,False
2-CHLORO-P-PHENYLENEDIAMINE SULFATE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,False
2-CYCLOHEXENYL CYCLOHEXANONE,2-CYCLOHEXENYL CYCLOHEXANONE,False
2-CYCLOHEXYLETHYL ACETATE,2-CYCLOHEXYLETHYL ACETATE,False
2-DECENAL,2-DECENAL,False
2-DIMETHYLBICYCLOHEPT-2-YLIDENE ETHANOL,2-DIMETHYLBICYCLOHEPT-2-YLIDENE ETHANOL,False
"2-DIMETHYLCYCLOHEXENYL-5-METHYL-5-METHYLPROPYL-1,3-DIOXANE","2-DIMETHYLCYCLOHEXENYL-5-METHYL-5-METHYLPROPYL-1,3-DIOXANE",False
2-DODECENOL,2-DODECENOL,False
"2-ETHOXY-2,6, 6-TRIMETHYL-9-METHYLENEBICYCLO[3.3.1]NONANE","2-ETHOXY-2,6, 6-TRIMETHYL-9-METHYLENEBICYCLO[3.3.1]NONANE",False
"2-ETHYL-1,3, 3-TRIMETHYLBICYCLO[2.2.1]HEPTAN-2-OL","2-ETHYL-1,3, 3-TRIMETHYLBICYCLO[2.2.1]HEPTAN-2-OL",False
2-ETHYL-2-(3-METHYLBUT-2-ENYL)HEX-3-ENOL,2-ETHYL-2-(3-METHYLBUT-2-ENYL)HEX-3-ENOL,False
2-ETHYL-3-METHYLPYRAZINE,2-ETHYL-3-METHYLPYRAZINE,False
"2-ETHYL-3, (5 OR 6)-DIMETHYLPYRAZINE","2-ETHYL-3, (5 OR 6)-DIMETHYLPYRAZINE",False
"2-ETHYL-3,5-DIMETHYLPYRAZINE","2-ETHYL-3,5-DIMETHYLPYRAZINE",False
